	sentence	type	point
16146	Tối đặt sáng có, quá nhanh quá tỉ mĩ.	NEG	1
16147	dây đeo hơi ngắn .	NEU	3
16148	Tuy vậy nhưng màu này mặc cũng ưng, vải ưng luôn vì mịn, dạng giống voan cát nên k nhăn.	POS	4
16149	Giao hàng chưa đúng yêu cầu màu sắc.	NEU	3
16150	Chất vải rất xấu k giống chất vải quần xám dày dặn, mặc lên mỏng dính ngứa ngáy thô ráp rất khó chịu.	NEG	1
16151	Hàng giống hình.	POS	5
16152	Vải chất lượng ok.chị chủ shop nhiệt tình.	POS	5
16153	Hàng đẹp mặc dù tấm mác ở sau gáy có hơi to nhưng ko sao.	POS	5
16154	Chất lượng sản phẩm tuyệt vời.!	POS	5
16155	Áo y hình.	POS	4
16156	Đóng gói sản phẩm chắc chắn Đáng đồng tiền Chất lượng sản phẩm tốt.	POS	5
16157	hàng xấu tệ,mình hầu như không chê trách ai bao giờ nhưng shop làm việc vậy là rất bậy,áo như là giẻ lau nhà vậy...	NEG	1
16158	Mặc nhẹ, vải ko trơn k bóng như m nghĩ.	POS	5
16159	Quá rộng.	NEG	2
16160	Thời gian giao hàng nhanh. dáng áo ok nhưng nhão, chạm đâu cũng bj rút sợi.	NEU	3
16161	Hơi rộng để tới bầu lớn mặc vẫn ok.	POS	5
16162	Tặng sinh nhật bạn mình rất thik!	POS	5
16163	Với giá tiền như vậy sp tạm ổn.vải đẹp nhưng mình mặc hơi chật.	POS	5
16164	Sop làm ăn k uy tín.	NEG	1
16165	Vải đẹp.	POS	5
16166	Còn lại chất đẹp, khá ưng ý.	POS	4
16167	Thời gian giao hàng rất nhanh.	POS	5
16168	Thời gian giao hàng chậm , chất lượng sp tạm được .	NEU	3
16169	Thời gian giao hàng rất nhanh, quần bị lỗi nhưng mình chủ động mang sửa cho nhanh.	POS	5
16170	Chất lượng sản phẩm tốt mềm rất ok.	POS	5
16171	Chất lượng sản phẩm tạm được.	POS	4
16172	Hình mẫu lông bên trong màu đen mà gửi lông màu trắng cho khách.	NEU	3
16173	Áo nhiều chỉ thừa, độ hoàn thiện kém, vải mỏng,mong shop cải thiện chất lượng sản phẩm :( Rất đáng tiền.	POS	4
16174	Đã hủy xanh ngọc lấy màu ghi nhưng shop giao màu xanh ngọc cũng rất ưng, màu rêu đậm cũng khá ok.	POS	5
16175	Thời gian giao hàng quá chậm bên vận chuyển chua hen khach ma bao khach hẹn điêu toa.	NEG	2
16176	Sản phẩm rất đẹp, chúc shop bán đắt.	POS	5
16177	Độ bám không cao, shop cho mình cái túi thật sự không cho thảm vào đc.	NEU	3
16178	Shop rất nhiệt tình.	POS	5
16179	Giống hình 90% rồi.	POS	4
16180	Chất lượng sản phẩm tuyệt vời.	POS	5
16181	Sản phẩm hơi lỗi nhưng chất lượng tốt.	POS	5
16182	Đóng gói sản phẩm rất đẹp và chắc chắn.shop nhiệt tình dễ thương.	POS	5
16183	Hàng mình yêu cầu là mẫu chấm bi thì hết, shop tự ý giao mẫu khác ko thèm hỏi ý kiến mình, lúc đầu còn không xin lỗi vì tự ý đổi mẫu, sau mình nói mới xin lỗi.	NEG	1
16184	Đặt mua nhẫn thì lại giao một sợi xích.	NEG	2
16185	_giày đẹp lắm ạ..nhưng giao sai mất màu...ci chủ shop nhiệt tình giải quyết sai sót...đã mua rất nhiều lần và rất ưng ý...mong lần sau ci để ý hơn trk khi giao 😘😍.	POS	4
16186	Áo không như hình.	NEU	3
16187	Đàn đẹp lắm ạ.	POS	5
16188	Váy đẹp mà rẻ.	POS	5
16189	Mình chưa dùng nhưng nhìn hộp bé tẹo à.	POS	4
16190	Áo giống hình.	POS	5
16191	Chất lượng sản phẩm tuyệt vời , Shop phục vụ rất tốt ,thời gian giao hàng rất nhanh.	NEU	3
16192	Vải mỏng Chất lượng sản phẩm tạm được.	POS	4
16193	Áo đẹp !	POS	5
16194	Shop phục vụ rất tốt, nhiệt tình tư vấn.	POS	5
16195	Tạm đuóc.	NEU	3
16196	Shop phục vụ khá tốt Nhưng giao thiếu mất cái khuy tròn cho mình 😭.	NEU	3
16197	Rất hài lòng!.	POS	5
16198	Áo ko giống trong hình ko có túi.	NEU	3
16199	HÀNG Y NHƯ HÌNH.	POS	5
16200	Quần đẹp, vải dày dặn, mình 46kg đặt size M mà thấy ôm lắm ko biết vài bữa bầu to mập lên mặc được ko nữa.	POS	4
16201	Có 1 bộ bị rách shop khắc phục lỗi này nhé.	NEG	2
16202	Quần bị dính cao su.	NEG	2
16203	Mình mua trên shopee rất nhiều sản phẩm nhưng đây là sản phẩm mà lúc mình mở ra mình kg nói nên lời vì quá thích từ cách đóng gói cho đến chất vải,các bạn nên mua vì khi bạn sờ vào nó bạn sẽ kg hối hận khi mua sản phẩm này đâu, ủng hộ shop độ uy tín và chất lượng, chúc shop buôn may bán đắt,ngàn * 👍.	POS	5
16204	Đầm rất đẹp, Rất đáng tiền.	POS	5
16205	Thanks shop!	POS	5
16206	Chất áo được ạ, form dáng, màu in ok ạ.	POS	5
16207	Đóng gói sản phẩm quá xấu.	NEU	3
16208	Chất lượng quá xấu .thua cả áo 30k nữa.	NEU	3
16209	Chất lượng tốt đẹp lên hơi rộng 1 chút.	POS	4
16210	Áo của em bị rách một chút chỗ cánh tay ạ.	NEU	3
16211	Khăn ảnh màu đỏ tươi thành màu đỏ chết.ko đúng màu so với ảnh.	NEU	3
16212	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
16213	Đặt vì sợ bạn ý ko gửi kịp và có mã khuyến mãi vận chuyển nữa.	POS	4
16214	Sẽ ủng hộ shop lần sau.	POS	5
16215	Quần hơi rộng.	POS	4
16216	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền. 76,100 mà vận chuyển thu 77,000 😩.	POS	5
16217	hình 3 màu mà giao màu đen duy nhất.	NEG	2
16218	Hình đẹp !!!!	POS	5
16219	Quần đẹp, chủ shop dễ thương còn đc tặng thêm cuốn sổ nhỏ mini cute ưng lắm , sẽ ủng hộ shop dài dài ♥♥.	POS	5
16220	Có mẫu báo là hàng su nhưng k phải.	POS	5
16221	Chất lượng sản phẩm tốt, giống hình.	POS	4
16222	Chất lượng sản phẩm tuyệt vời, Packing siêu đẹp.	POS	5
16223	Áo trắng bị dính bẩn.	NEU	3
16224	5 sao cho shop, không chê vào đâu được.	POS	5
16225	Nhìn lại thì đường chỉ may chỉ có đường vắt sổ.	NEU	3
16226	Mẫu áo nhìn quê mùa.	NEU	3
16227	Chất lượng sản phẩm tuyệt vời.	POS	5
16228	Xem hình tự hiểu.	NEU	3
16229	Sản phẩm ok trong tầm giá.	POS	4
16230	Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
16231	Vải bị xước mấy chỗ.	NEU	3
16232	Còn được tặng thêm 1 gói mask và cả bức thư xinh xinhh nữa ❤.	POS	5
16233	Chất lượng sản phẩm kém, vải quần k f là vải len chỉ là thun mỏng.	NEG	1
16234	K giống hinh.	NEU	3
16235	Mềm,đẹp,nên tăng giá chút tặng luôn áo gối cho đỡ dơ,màu trắng này dơ.	POS	4
16236	bộ đồ chẳng mặc được.khiếp mua trên mạng .	NEG	1
16237	Mình rất hài lòng về sản phẩm.	POS	5
16238	Shop không có màu sản phẩm như mình đặt nhưng ko báo cho mình biết trước khi giao hàng.	NEG	2
16239	Đóng gói sản phẩm chắc chắn, giao hàng nhanh.	POS	5
16240	Bạn nào 48-50kg sẽ mặc đẹp.	NEU	3
16241	Chúc shop đắt hàng nhé.	POS	5
16242	Có điều là áo hơi ngắn hơn ảnh!	NEU	3
16243	Chất vải nóng , toàn chất poly.	NEG	1
16244	Hàng đẹp.	POS	5
16245	giày rất đẹp và thời gian giao hàng cực nhanh ❤️❤️.	POS	5
16246	Chất mịn đẹp, nhưng size rộng hơn so với quần legging ko bầu.	POS	5
16247	Sp giống ảnh.	NEU	3
16248	Sp giống hình, k xuất sắc như mong đợi.	NEU	3
16249	Áo giống hình cute nhưng chất vải mặc hơi bí không được như mong đợi hơi thất vọng.	NEU	3
16250	Sp có tem của nhà phân phối Digiworld nhưng mình không thấy tem bạc chống hàng giả trên vỏ hộp và trên thân pin.	POS	5
16251	Sp len hơi mỏng.	NEU	3
16252	Lúc pha k chảy mà bé bú đc mấy hơi là chảy sữa 😌.	NEU	3
16253	K có gì để chê.	POS	5
16254	Đẹp.	POS	5
16255	Sờ chất ok.	NEU	3
16256	Form rất chuẩn mặc rất thoải mái.	POS	5
16257	Shop đáng tin tưởng.	POS	5
16258	Váy đẹp đẹp y hình.	POS	5
16259	Váy giống mô tả, ren đẹp.	POS	5
16260	Bestttt.	POS	5
16261	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16262	Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.	POS	5
16263	Cơ mà tiền nào của ý.	NEU	3
16264	Áo của sh siêu đẹp i hình 100% lun !	POS	5
16265	Chất lượng sp rất tốt ❤️❤️❤️.	POS	5
16266	Sẽ không bao giờ mua hàng trên shoppe nữa.	NEG	1
16267	Mặc lên khá đẹp.	POS	4
16268	Shop chuẩn bị hàng nhanh nhưng túi dùng 1 hôm bị tuột chỉ.	NEU	3
16269	Áo chật quá ko mặc đc.	NEG	1
16270	Giày chất đẹp nơ đẹp quá rẻ và đẹp.	POS	5
16271	Phù hợp vs giá Đóng gói sản phẩm tạm được.	POS	4
16272	Chất lượng cực kì tốt nha m.n.	POS	5
16273	Không hài lòng.	NEG	1
16274	Đẹp ngoài sức tưởng tượng luôn.	POS	5
16275	Sẽ ủng hộ shop dài.	POS	5
16276	Nói chung mình ko hài lòng với sản phẩm và thái độ phục vụ của shop.	NEG	1
16277	Áo bị mốc kim đen ;)).	NEG	2
16278	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16279	Vải mát, form đẹp.	NEU	3
16280	Hàng đẹp rất thích !	POS	5
16281	Giao hàng rất nhanh.	POS	5
16282	Áo dáng basic, mặc kết hợp đủ thứ, màu nâu mà rất tây nhé.	POS	5
16283	Mua về giờ ko mặc được.	NEU	3
16284	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Rất đáng tiền Chất lượng sản phẩm tuyệt vời.	POS	5
16285	Hang ko dong Hình.	NEU	3
16286	Hơi rộng nhưng được cái vải đẹp vô cùng đáng giá tiền.	POS	5
16287	Đóng gói sản phẩm chắc chắn.	POS	5
16288	Mình có phản ánh và hoàn lại sản phẩm nhưng người bán không phản hồi.	NEG	1
16289	Xinhh.Hàng giống hình, vải cũng đẹp mát không mỏng lắm.	POS	5
16290	Cảm ơn shop nhìu.	POS	5
16291	Tuy màu sắc k như mong đợi nhưng hàng đẹp.	POS	4
16292	Vải đẹp, hàng y hình.	POS	5
16293	Tiếc là chỉ có 1 ngăn mà ko có khóa kéo kín nên dễ rơi đồ :((((.	POS	4
16294	Nhưng vải thì hơi mỏng.	NEG	1
16295	Ncl ưng.	POS	5
16296	Rất đáng tiền, Thời gian giao hàng rất nhanh, shiper rất thân thiện.	POS	5
16297	Hang gi dau ma quan lot rach ben trong het mieng tham sua thi chat xai 1 lan roi duc chu giat lai gi dc Rất không đáng tiền.	NEG	1
16298	Chất lượng sản phẩm tuyệt vời Rất đáng tiền.Sản phẩm y hình.	POS	4
16299	Áo đẹp lắm ạ.	POS	5
16300	Sp tam dk .nhung ống tay hoi cộc.	NEU	3
16301	Đã mua nhiều lần của shop và lần nào cũng hài lòng.	POS	5
16302	Ảnh mình chụp cam thường đấy ạ.	POS	5
16303	Thời gian giao hàng rất2 nhanh.	POS	5
16304	Quá thất vọng.	NEG	1
16305	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.	POS	5
16306	Mỗi tội vận chuyển quá lâu.	POS	4
16307	Áo đẹp shop nhiệt tình ạ.	POS	5
16308	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ khá tốt.	POS	5
16309	Hàng y hình, màu đẹp, dáng đẹp.	POS	5
16310	Mua hàng của shop 1 lần hơn 1 triệu mà rất yên tâm và hài lòng từng sản phẩm.	POS	5
16311	Chủ shop thì quá nhiệt tình và dể thương.	POS	5
16312	Được cái mua ba cái quần mà shop để có hai cái cũng thấy buồn.	POS	5
16313	Chất lượng sản phẩm rất kém.Áo kh đúng cũ.Nói k rep.	NEG	1
16314	Còn đc chủ shop tặng kèm quà.	POS	5
16315	So k giong hinh.nc la k on chut nao.	NEG	2
16316	Shop bán hàng chất lượng!!!	POS	5
16317	Sẽ ko mua sp này của shop nữa.	NEG	1
16318	Chủ shop k tương tác với khách hàng.	NEU	3
16319	Chất lượng sản phẩm tuyệt vời.	POS	5
16320	Ao vai mem min.	NEU	3
16321	Chất áo đẹp.	POS	4
16322	Đẹp, mỗi tội hơi xòe tí.	POS	5
16323	Sẽ tiếp tục ủng hộ Thời gian giao hàng rất nhanh.	POS	5
16324	Cám ơn shop nhiều nèii ❤.	POS	4
16325	Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền.	POS	5
16326	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. 40kg mà mặc vừa xinh luôn.	POS	5
16327	giày thì face rồi không biết loại mấy ở clip còn có tem mác , với giá này mn có thểm tham khảo thêm có nhiều shop bán tầm 280k thôi .	NEG	1
16328	Nói chung là hàng quá kém chất lượng.	NEG	1
16329	Hi vọng tất cả những shop trên shopee đều được như này!	POS	5
16330	Màu tối, áo mẹ sz S quá rộng.	NEU	3
16331	Thun đẹp, form đẹp Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.	POS	5
16332	Sp rất đẹp.	POS	4
16333	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.	POS	5
16334	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh 👍👍❤️.	POS	5
16335	Chất lượng sản phẩm rất kém không đáng tiền.	NEG	1
16336	Chất lượng sản phẩm tuyệt vời, tư vấn nhiệt tình, love U!!	POS	5
16337	Mua rồi thì lại sale rẻ hơn.	NEG	2
16338	con đầu rất ưng nhưng con gửi sau cho mình vỏ nát be nát bét nha bác, chú ý khâu đóng gói cho mình.	NEG	2
16339	Giày siêu siêu đẹp ý.	POS	5
16340	Chất lượng sản phẩm tuyệt vời.	POS	5
16341	Hàng đẹp lăm y hình.	NEU	3
16342	Hàng lỗi, rách ống tay.	NEU	3
16343	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16344	Thời gian giao hàng hơi chậm.	NEG	1
16345	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền.	POS	5
16346	Shop k nhiệt tình Chất lượng sản phẩm rất kém.	NEG	2
16347	Nhưng ống thì vặn vẹo.	NEU	3
16348	Thời gian giao hàng rất nhanh.	POS	5
16349	Thun ngay tay dãn nữa.	NEG	2
16350	Hơn cả tuyệt vời.	POS	4
16351	Bản thân vốn lười comment và rate sao vô cùng, nhưng lần nào mua hàng e Lan cũng cố lê lết rate 5⛥ cho e vì sợ e bị tụt sao oan ức mà tội e, bán hàng dễ dãi vãi, chắc tại hàng mịn quá đấy mà.	POS	5
16352	Có đều áo hơi nhăn, ko biết giặt xong có dễ bị nhăn như thế này ko nữa :(.	POS	5
16353	Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt ạ !	POS	5
16354	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16355	Chất lượng sản phẩm tuyệt vời.	POS	4
16356	Sp mỏng, đường may k đc đẹp lắm.	POS	4
16357	Chất lượng sản phẩm tuyệt vời màu nhạt hơn hình.	POS	5
16358	Đặt áo cổ thuyền nhưng lại giao áo cổ tròn cộc tay!	NEU	3
16359	Nhưng vì áo đẹp nên thôi ko vấn đề gì :) Thời gian giao hàng rất nhanh.	POS	5
16360	Áo đẹp vải dày dặn mềm mát phôm chuẩn.	POS	5
16361	Vải khá mềm và mát.	POS	4
16362	Coi như là bỏ.	NEG	1
16363	Áo thun co giãn nhiều, hơi mỏng tí nhưng nói chung chất lượng ổn.	POS	5
16364	Nếu màu đậm hơn 1 xí nữa là đẹp.	POS	4
16365	Sản phẩm lắp ráp k chắc chắn phải vặn ốc lại !	NEG	2
16366	ram lùn chạy tốt.	NEU	3
16367	Chất đẹp, giá hợp lí.	POS	5
16368	Chất lượng sản phẩm tuyệt vời màu sắc rất đẹp❤️.	POS	5
16369	Hàng cực kỳ ưng shop rất chu đáo sẽ ủng hộ tiếp ^.^.	POS	5
16370	Sẽ ủng hộ shop nhiều.	POS	5
16371	Đóng gói đẹp.	POS	4
16372	Áo đẹp mà giá hạt dẻ nữa😍.	POS	5
16373	Hàng rất đẹp , giá cả phải chăng Shop phục vụ rất tốt.	POS	5
16374	Quần Form khá đẹp, Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16375	Thời gian giao hàng nhanh.	POS	5
16376	Chất lượng sản phẩm rất kém.	NEG	1
16377	bé hơn size so với giày thường đi ko thoải mái ....	POS	4
16378	M góp ý nong shop thay đổi.	POS	5
16379	Rất đáng tiền, Chất lượng sản phẩm tuyệt vời, chủ shop nhiệt tình dễ thương 😍.	POS	5
16380	Đã mua 3 đôi khác nhau ở đây và hoàn toàn hài lòng 😃.	POS	5
16381	Shop phục vụ khá tốt. chất áo đúng với giá tiền. hình in hơi cứng.	POS	5
16382	Áo hơi nhỏ mk mặc k vừa Chất lượng sản phẩm tốt.	POS	4
16383	Chỉ có điều dây đàn mk lên đúng dc 1 lúc là lại bị trùng mong shop tư vấn cách khắc phục ạ.	NEU	3
16384	Chất lượng sản phẩm kém, không giống như hình, vai thô hơn.	NEG	1
16385	Tuy phải chờ 1 tháng lận (từ 12/9 đến 3/10 mới được đổi trả) nhưng cũng do lỗi bên ghn ủ bưu kiện của mình nên vẫn ghi nhận shop.	POS	5
16386	Dep lam nha ban.	POS	4
16387	Đường may chưa cẩn thận.	NEU	3
16388	Quá thất vọng 😧😧.	NEG	1
16389	Cám ơn shop nhiều nhiều :v.	POS	5
16390	😍vải đẹp lắm ạ ♥ ♥.	POS	5
16391	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt .	POS	5
16392	Cách phục vụ vô cùng nhiệt tình và chuyên nghiệp mình đất hài lòng.	POS	5
16393	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
16394	Sản phẩm màu dễ thương.	POS	5
16395	Size hk giống như trong phân loại.đo eo đặt size về rộng quá trời.	NEG	2
16396	Form 38 mà mặc chật.	POS	4
16397	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
16398	Nhưng giao hàng hơi lâu.	POS	4
16399	Shop phục vụ tốt.	POS	5
16400	Mút xẹp, không đứng form, giống hình.	POS	5
16401	Sơ mi quá đẹp .	POS	5
16402	Mình k thích cổ áo lắm nó hơi cứng.	NEU	3
16403	Trong ảnh đăng mình thấy có khoá kéo đằng sau nhưng khi nhận thì là váy dạng chui, k có khoá.	NEU	3
16404	Vải áo mịn, trắng, form áo rộng mặc thoải mái, mình 53kg.	POS	5
16405	Chất tương đối đẹp nhưng dày dặn hơn chút nữa.	POS	4
16406	Đẹp.	POS	5
16407	Vải đẹp nhưng form áo dạng ôm k giống hình ng mặc.	NEU	3
16408	Cứ nghĩ M là vừa mà phom nhỏ quá lại ko ních dk.	NEU	3
16409	chất không đuoc đẹp gióng như trong ảnh.	POS	5
16410	đầm đẹp. giá hợp lý.	POS	4
16411	Mình mua thử nhiều sp của shop và chất lượng đều rất tốt.	POS	5
16412	Áo đẹp.	POS	5
16413	Mua 4 áo size người lớn mà mang đi in hình có chữ daughter hết.	NEU	3
16414	Vải mềm.	POS	4
16415	Dat mau hong ma shop dua m mau den.	NEG	2
16416	Rẻ, đẹp.	POS	5
16417	Đẹp dã man shop giao cực nhanh <3 sẽ ủng hộ tiếp.	POS	5
16418	Cảm ơn shop.	POS	5
16419	Áo đẹp như hình, vải ít nhăn.	POS	5
16420	Chưa bàn đến chất lượng nhưng nhận hàng thật sự cạn lời!!	NEG	1
16421	Đóng gói cẩn thận.	POS	5
16422	Khá hài lòng về sp Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	4
16423	hàng đẹp chắc chắn, giao hàng nhanh, rất ưng ý.	POS	5
16424	Hàng đẹp, Đóng gói sản phẩm rất đẹp và chắc chắn rất hài lòng :33.	POS	5
16425	Mong shop xem lại.	NEG	2
16426	Túi rất đẹp và đóng gói cẩn thận.	POS	5
16427	Chất lượng sản phẩm tuyệt vời .mua ao 75k lai giao ao 59k.	POS	5
16428	Chua mặc ma bị đứt day áo roi.	NEG	1
16429	Giao mã hàng nhanh.	POS	5
16430	Mặc zo thì cũng tạm được bản to nên hơi khó chịu .	NEU	3
16431	Ko bị lỗi.	POS	4
16432	Chất lượng sản phẩm tuyệt vời, vải đẹp lắm 👍👍.	POS	5
16433	Chất đẹp nhưng màu gửi cho mình toàn màu xấu.	POS	4
16434	Quần mặc bị chật , nt shop k tl !	NEG	1
16435	Đóng gói sản phẩm chắc chắn.	POS	5
16436	Hg rất giọng voi hình.rất Ok.	POS	5
16437	Áo đẹp.chất vải ok.	POS	5
16438	Các bạn mua hàng đi k cần lăn tăn đâu 👍🏻👍🏻👍🏻.	POS	5
16439	Tay áo ko giống hình tay lỡ ko phải tay dài.	POS	4
16440	Chất đẹp.	POS	5
16441	Màu trắng nhìn như phai màu.	NEU	3
16442	Đóng gói sản phẩm rất đẹp và chắc chắn Vai rộng thùng thình Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
16443	Sẽ ủng hộ tiếp ạ ^^.	POS	5
16444	Bạn khác hơn vài kg chắc đẹp hơn hàng rất ok đáng mua.	POS	5
16445	Sản phẩm tốt.	POS	5
16446	Nút mà cũng thiếu sao mặc bó tay.	NEG	1
16447	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
16448	Cám ơm trước.	POS	5
16449	Đáng mua nha các mom.	POS	5
16450	Chất lượng sản phẩm tạm được Vải hơi mỏng nhưng thôi chấp nhận vì tiền nào của nấy.	POS	5
16451	Rôi shop ạ.	NEU	3
16452	Đưa nhầm size nt k tl.	NEU	3
16453	Thời gian giao hàng rất nhanh.	POS	5
16454	Vải mềm.	POS	5
16455	Áo vải đẹp mà màu tối quá mà hết màu sáng rồi.	NEU	3
16456	Còn được tặng thêm nữa ý rất thích ạ.	POS	5
16457	5 sao 5 sao đẹp lắm cácc b nhé :))).	POS	5
16458	Túi rác quá mỏng, dễ rách khi sử dụng, nhìn bề ngoài không đẹp như trong ảnh!	NEG	1
16459	Sẽ tiếp tục ủng hộ.	POS	5
16460	Trong ảnh là chất đũi nhưng ngoài thì lại là vải thô.	NEU	3
16461	Sẽ ủng hộ và giới thiệu shop cho bb ❤️❤️❤️.	NEG	1
16462	Shop phục vụ rất tốt thời gian giao hàng rất nhanh.	POS	5
16463	Dày dặn, co giản tốt.	POS	5
16464	Không nghĩ áo lại rộng đến vậy.	NEU	3
16465	Áo nhỏ vs ko rộng,vải mỏng.	NEU	3
16466	Shop phục vụ rất tốt .	POS	5
16467	Màu đổ đô vải đẹp hơn các màu khác.	NEU	3
16468	Chất lượng sản phẩm tuyệt vời vải đẹp như size nhỏ hơn btg.	POS	5
16469	Đồ siu đẹp mình sẽ ủng hộ shop nhiều.	NEU	3
16470	Giầy đi rất đẹp.	POS	5
16471	Chất xấu.	NEG	1
16472	chất vải ok..shop giao hàng rất nhanh.ths shop.	NEU	3
16473	K và sứoc vào đâu mà vẫn rách toạt cả ra.	NEU	3
16474	Rất đáng tiền.	NEU	3
16475	hộp bị méo 😂 nhưng vẫn ksao. shop tặng thêm quà 😚 chắc là túi thơm để phòng. em 55kg mà bị chật 😭😭😭.	POS	5
16476	Áo 250 ngàn mà may như áo chợ vậy .	NEG	2
16477	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Áo đẹp vải tốt.	POS	5
16478	Dùng đến khi lên tone mới đánh giá ^^ răng mình thuộc dạng vàng khó chữa, dùng tới lần 5 mới lên tone @@ vừa order thêm ^^.	POS	4
16479	Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.	POS	5
16480	Chấm 4 sao để shop cố gắng tốt hơn nữa sao cho xứng đáng 5 sao nhé!	POS	4
16481	Hài lòng.	NEU	3
16482	Giao sai mã hàng.	NEU	3
16483	Quần kia cũng cỡ L mà dài rộng hơn.	NEU	3
16484	Áo do xếp lâu nên hơi nhăn nhưng chất vải mát, mịn, chắc k bị nhăn.	POS	5
16485	Vừa vặn xinh xắn đường may chắc chắn.	POS	5
16486	Đóng gói sản phẩm chắc chắn hàng đẹp nhưng áo nhìn cũng đc.	POS	5
16487	đóng gói sp chắc chắn.	POS	5
16488	Đóng gói sản phẩm rất đẹp và chắc chắn; quần mặc mẫu đẹp, chất tốt; chủ shop rất nhiệt tình.	POS	5
16489	Giao sai sản phẩm.nhưng ko cho đổi.	NEG	2
16490	Đóng gói kém, ảnh rách, hộp bị méo.	NEU	3
16491	Chất lượng sản phẩm tuyệt vời.	POS	5
16492	Áo đẹp nhưng hơi khó phối đồ.	POS	5
16493	1 ngày là nhận đc luôn.	POS	5
16494	Mình oder màu tím giao mình màu xanh.	NEG	2
16495	Shop rất nhiệt tình và đáng yêu ạ💕💕💕💕💕.	POS	5
16496	Shop phục vụ rất kém Giao sai màu cho khách nt ns vs shop thì shop k đk câu xl trả lời mỗi câu ok.	NEG	1
16497	Shop phục vụ rất kém Đóng gói sản phẩm rất kém.	NEU	3
16498	Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Shop phục vụ khá tốt Đáng đồng tiền.	POS	5
16499	Size 28 quần này cỡ size 26 thôi.	NEG	1
16500	Tạm được xứng với giá tiền.	NEU	3
16501	Quần rộng.	NEU	3
16502	Chất áo mặc hợp mùa thu lắm, mùa hè sợ hơi nóng.	POS	4
16503	Xấu tệ.	NEG	1
16504	Rất ưng.	POS	5
16505	Quần đẹp lắm giá lại rẻ ..cảm ơn shop.	POS	5
16506	So voi gia tiền fai trả jo đang.	NEU	3
16507	Mọi thứ đều đẹp, trừ cái vạt áo hơi ngắn.	POS	4
16508	Giầy đúng với hình, đi vừa chân, mình hài lòng.	POS	5
16509	Thật lòng nhìn sản phẩm là ưng lắm shop nhé.	POS	5
